.variable,.value,.lower,.upper,.width,.point,.interval
b_AgeinMonths,-0.2610755,-0.408946,-0.121086,0.95,median,hdi
b_Centering,-0.8096395,-0.986276,-0.627827,0.95,median,hdi
b_Distance,-0.2197965,-0.406675,-0.00967776,0.95,median,hdi
b_FaceDev_pitch,-0.0998064,-0.28174,0.044651,0.95,median,hdi
b_FaceDev_roll,0.060466599999999995,-0.0673573,0.198363,0.95,median,hdi
b_FaceDev_yaw,0.001066515,-0.167059,0.193551,0.95,median,hdi
b_GazeDirectionDirected,0.49997349999999996,0.157416,0.895412,0.95,median,hdi
b_InfantPostureSitting,-0.020078699999999998,-0.382887,0.304235,0.95,median,hdi
b_InfantPostureUpright,0.22322199999999998,-0.156444,0.566851,0.95,median,hdi
b_Intercept,0.1164875,-0.356987,0.608319,0.95,median,hdi
b_MotherPostureUpright,-0.04987535,-0.370148,0.363165,0.95,median,hdi
b_Saliency_face,0.24944349999999998,0.174616,0.341052,0.95,median,hdi
b_AgeinMonths,-0.2610755,-0.320424,-0.191065,0.66,median,hdi
b_Centering,-0.8096395,-0.901086,-0.746308,0.66,median,hdi
b_Distance,-0.2197965,-0.306675,-0.140842,0.66,median,hdi
b_FaceDev_pitch,-0.0998064,-0.16719,-0.0235859,0.66,median,hdi
b_FaceDev_roll,0.060466599999999995,0.00170842,0.106132,0.66,median,hdi
b_FaceDev_yaw,0.001066515,-0.0841172,0.0537057,0.66,median,hdi
b_GazeDirectionDirected,0.49997349999999996,0.355035,0.680429,0.66,median,hdi
b_InfantPostureSitting,-0.020078699999999998,-0.173739,0.168981,0.66,median,hdi
b_InfantPostureUpright,0.22322199999999998,0.0570403,0.38988,0.66,median,hdi
b_Intercept,0.1164875,-0.15411,0.291471,0.66,median,hdi
b_MotherPostureUpright,-0.04987535,-0.212332,0.0904977,0.66,median,hdi
b_Saliency_face,0.24944349999999998,0.210347,0.276769,0.66,median,hdi
