.variable,.value,.lower,.upper,.width,.point,.interval,Rhat_max,RepNum
b_AgeinMonths,-0.04826375,-0.142826,0.0502422,0.95,median,hdi,1.0021218684460762,1
b_Centering,-0.806295,-1.0957,-0.501431,0.95,median,hdi,1.0021218684460762,1
b_Distance,-0.813311,-0.962909,-0.673078,0.95,median,hdi,1.0021218684460762,1
b_FaceDev_pitch,-0.06146994999999999,-0.213688,0.0902956,0.95,median,hdi,1.0021218684460762,1
b_FaceDev_roll,0.0137847,-0.0667946,0.100747,0.95,median,hdi,1.0021218684460762,1
b_FaceDev_yaw,-0.08981729999999999,-0.18654,0.0151835,0.95,median,hdi,1.0021218684460762,1
b_GazeDirectionDirected,-0.01929805,-0.232126,0.194954,0.95,median,hdi,1.0021218684460762,1
b_InfantPostureSitting,0.326046,-0.0626453,0.706929,0.95,median,hdi,1.0021218684460762,1
b_InfantPostureUpright,0.4340015,-0.00960897,0.884643,0.95,median,hdi,1.0021218684460762,1
b_Intercept,-1.68889,-2.12566,-1.2887,0.95,median,hdi,1.0021218684460762,1
b_MotherPostureUpright,0.01430164999999999,-0.4095,0.448082,0.95,median,hdi,1.0021218684460762,1
b_Saliency_face,0.1526005,0.0807113,0.22257,0.95,median,hdi,1.0021218684460762,1
b_AgeinMonths,-0.02675445,-0.128233,0.0724664,0.95,median,hdi,1.0036697348993486,2
b_Centering,-0.8143644999999999,-1.06162,-0.557057,0.95,median,hdi,1.0036697348993486,2
b_Distance,-0.819296,-1.03318,-0.611814,0.95,median,hdi,1.0036697348993486,2
b_FaceDev_pitch,6.252104999999999e-4,-0.155738,0.153965,0.95,median,hdi,1.0036697348993486,2
b_FaceDev_roll,0.04161344999999999,-0.0561889,0.152046,0.95,median,hdi,1.0036697348993486,2
b_FaceDev_yaw,-0.08792174999999999,-0.18114,0.00400043,0.95,median,hdi,1.0036697348993486,2
b_GazeDirectionDirected,0.03136185,-0.101038,0.156851,0.95,median,hdi,1.0036697348993486,2
b_InfantPostureSitting,0.06357355,-0.305087,0.449564,0.95,median,hdi,1.0036697348993486,2
b_InfantPostureUpright,0.199428,-0.235486,0.612982,0.95,median,hdi,1.0036697348993486,2
b_Intercept,-1.4253900000000002,-1.8962,-0.948543,0.95,median,hdi,1.0036697348993486,2
b_MotherPostureUpright,-0.102577,-0.761362,0.508085,0.95,median,hdi,1.0036697348993486,2
b_Saliency_face,0.1273745,0.0660145,0.199579,0.95,median,hdi,1.0036697348993486,2
b_AgeinMonths,-0.02275485,-0.132638,0.0933181,0.95,median,hdi,1.002020447856336,3
b_Centering,-0.8679684999999999,-1.15175,-0.569128,0.95,median,hdi,1.002020447856336,3
b_Distance,-0.867693,-1.16352,-0.595347,0.95,median,hdi,1.002020447856336,3
b_FaceDev_pitch,-0.0811258,-0.237184,0.0708963,0.95,median,hdi,1.002020447856336,3
b_FaceDev_roll,0.04717635,-0.10387,0.196878,0.95,median,hdi,1.002020447856336,3
b_FaceDev_yaw,-0.09399415,-0.156762,-0.0281058,0.95,median,hdi,1.002020447856336,3
b_GazeDirectionDirected,0.03512034999999999,-0.0971075,0.160194,0.95,median,hdi,1.002020447856336,3
b_InfantPostureSitting,0.277404,-0.112491,0.643972,0.95,median,hdi,1.002020447856336,3
b_InfantPostureUpright,0.373129,-0.0133752,0.781645,0.95,median,hdi,1.002020447856336,3
b_Intercept,-1.65682,-2.07214,-1.2578,0.95,median,hdi,1.002020447856336,3
b_MotherPostureUpright,0.06546184999999999,-0.393625,0.490191,0.95,median,hdi,1.002020447856336,3
b_Saliency_face,0.1131045,0.0149708,0.205845,0.95,median,hdi,1.002020447856336,3
b_AgeinMonths,-0.053852,-0.231831,0.113271,0.95,median,hdi,1.0019587161783776,4
b_Centering,-0.783409,-1.04973,-0.548656,0.95,median,hdi,1.0019587161783776,4
b_Distance,-0.7820389999999999,-0.936989,-0.590722,0.95,median,hdi,1.0019587161783776,4
b_FaceDev_pitch,-0.07061100000000001,-0.226936,0.0752221,0.95,median,hdi,1.0019587161783776,4
b_FaceDev_roll,-0.0116901,-0.110198,0.0872904,0.95,median,hdi,1.0019587161783776,4
b_FaceDev_yaw,-0.04375864999999999,-0.147624,0.0710841,0.95,median,hdi,1.0019587161783776,4
b_GazeDirectionDirected,0.03687654999999999,-0.101821,0.174073,0.95,median,hdi,1.0019587161783776,4
b_InfantPostureSitting,0.03038215,-0.307196,0.370704,0.95,median,hdi,1.0019587161783776,4
b_InfantPostureUpright,0.187483,-0.153443,0.519812,0.95,median,hdi,1.0019587161783776,4
b_Intercept,-1.413105,-1.87161,-0.971884,0.95,median,hdi,1.0019587161783776,4
b_MotherPostureUpright,-0.00352978999999999,-0.540974,0.446874,0.95,median,hdi,1.0019587161783776,4
b_Saliency_face,0.1238905,0.0454446,0.198386,0.95,median,hdi,1.0019587161783776,4
b_AgeinMonths,-0.005120505,-0.172672,0.183732,0.95,median,hdi,1.003813058679729,5
b_Centering,-0.8604175000000001,-1.14298,-0.586018,0.95,median,hdi,1.003813058679729,5
b_Distance,-0.898515,-1.08345,-0.735961,0.95,median,hdi,1.003813058679729,5
b_FaceDev_pitch,-0.0708336,-0.25701,0.0836811,0.95,median,hdi,1.003813058679729,5
b_FaceDev_roll,8.122935e-4,-0.109121,0.125306,0.95,median,hdi,1.003813058679729,5
b_FaceDev_yaw,-0.06794135000000001,-0.148914,0.0144868,0.95,median,hdi,1.003813058679729,5
b_GazeDirectionDirected,0.02096909999999999,-0.119259,0.149187,0.95,median,hdi,1.003813058679729,5
b_InfantPostureSitting,0.1855825,-0.208087,0.534066,0.95,median,hdi,1.003813058679729,5
b_InfantPostureUpright,0.334737,-0.0824794,0.751698,0.95,median,hdi,1.003813058679729,5
b_Intercept,-1.64665,-2.08651,-1.23203,0.95,median,hdi,1.003813058679729,5
b_MotherPostureUpright,0.175022,-0.226869,0.628588,0.95,median,hdi,1.003813058679729,5
b_Saliency_face,0.153969,0.0793766,0.218585,0.95,median,hdi,1.003813058679729,5
b_AgeinMonths,-0.05805845,-0.199799,0.0984943,0.95,median,hdi,1.0038633114521176,6
b_Centering,-0.8424935,-1.09966,-0.619109,0.95,median,hdi,1.0038633114521176,6
b_Distance,-0.789025,-1.06091,-0.496131,0.95,median,hdi,1.0038633114521176,6
b_FaceDev_pitch,-0.09095995,-0.241715,0.0591909,0.95,median,hdi,1.0038633114521176,6
b_FaceDev_roll,3.174645e-4,-0.101665,0.115234,0.95,median,hdi,1.0038633114521176,6
b_FaceDev_yaw,-0.04629379999999999,-0.132359,0.0419453,0.95,median,hdi,1.0038633114521176,6
b_GazeDirectionDirected,-0.01180254999999999,-0.142818,0.115174,0.95,median,hdi,1.0038633114521176,6
b_InfantPostureSitting,-0.104302,-0.421108,0.234868,0.95,median,hdi,1.0038633114521176,6
b_InfantPostureUpright,-0.01342654999999999,-0.391802,0.354367,0.95,median,hdi,1.0038633114521176,6
b_Intercept,-1.22312,-1.6325,-0.837655,0.95,median,hdi,1.0038633114521176,6
b_MotherPostureUpright,0.03848685,-0.342901,0.468269,0.95,median,hdi,1.0038633114521176,6
b_Saliency_face,0.112055,6.43003e-4,0.233895,0.95,median,hdi,1.0038633114521176,6
b_AgeinMonths,-0.0213684,-0.116524,0.0647353,0.95,median,hdi,1.0019600669152542,7
b_Centering,-0.8587450000000001,-1.12973,-0.596077,0.95,median,hdi,1.0019600669152542,7
b_Distance,-0.846213,-1.12438,-0.570395,0.95,median,hdi,1.0019600669152542,7
b_FaceDev_pitch,-0.01015185,-0.142293,0.115884,0.95,median,hdi,1.0019600669152542,7
b_FaceDev_roll,-0.005333135,-0.113336,0.105518,0.95,median,hdi,1.0019600669152542,7
b_FaceDev_yaw,-0.005602225,-0.115845,0.111682,0.95,median,hdi,1.0019600669152542,7
b_GazeDirectionDirected,0.02368595,-0.101036,0.147821,0.95,median,hdi,1.0019600669152542,7
b_InfantPostureSitting,-0.146231,-0.500853,0.190459,0.95,median,hdi,1.0019600669152542,7
b_InfantPostureUpright,0.0521637,-0.27828,0.399444,0.95,median,hdi,1.0019600669152542,7
b_Intercept,-1.238665,-1.61176,-0.84935,0.95,median,hdi,1.0019600669152542,7
b_MotherPostureUpright,0.1026075,-0.44573,0.68464,0.95,median,hdi,1.0019600669152542,7
b_Saliency_face,0.103601,0.0198921,0.198343,0.95,median,hdi,1.0019600669152542,7
b_AgeinMonths,-0.01522115,-0.161021,0.143905,0.95,median,hdi,1.002556407370672,8
b_Centering,-0.8193330000000001,-1.02353,-0.610481,0.95,median,hdi,1.002556407370672,8
